,City,Latitude,Longitude,Max Temp. (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country Code,Date
273,Caravelas,-17.7125,-39.2481,86.14,52,4,12.21,BR,1632236084
274,Port Hardy,50.6996,-127.4199,55.58,88,75,13.8,CA,1632236085
275,Pisco,-13.7,-76.2167,64.45,72,0,9.22,PE,1632236085
276,Pforzheim,48.8833,8.7,63.72,54,43,5.37,DE,1632236086
277,Alice Springs,-23.7,133.8833,49.55,40,18,6.91,AU,1632236086
278,Cabo San Lucas,22.8909,-109.9124,82.51,84,96,5.99,MX,1632235978
279,Katsuura,35.1333,140.3,73.51,89,96,4.34,JP,1632236087
280,Coari,-4.085,-63.1414,93.2,46,82,2.37,BR,1632236087
281,Dauphin,51.1494,-100.0502,50.14,62,1,8.05,CA,1632235842
282,Oktyabr'skiy,54.4815,53.471,49.51,62,99,4.92,RU,1632236088
283,Goderich,43.7501,-81.7165,75.9,78,63,18.41,CA,1632236088
284,Clyde River,70.4692,-68.5914,30.43,86,75,8.05,CA,1632236088
285,Bundaberg,-24.85,152.35,57.49,33,0,8.01,AU,1632236089
286,Chiradzulu,-15.6746,35.1407,81.59,19,3,6.87,MW,1632236089
287,Ballina,-28.8667,153.5667,50.77,55,40,11.5,AU,1632236090
288,Souillac,-20.5167,57.5167,71.98,64,40,6.91,MU,1632236090
289,Harper,4.375,-7.7169,79.99,80,46,9.62,LR,1632236090
290,Hermanus,-34.4187,19.2345,65.8,58,63,14.41,ZA,1632236053
291,Auki,-8.7676,160.7034,76.35,90,78,2.73,SB,1632236091
292,Soe,-9.8607,124.284,65.46,90,84,4.07,ID,1632236091
293,Derzhavīnsk,51.1,66.3167,44.37,50,69,8.25,KZ,1632236092
294,Saint Thomas,13.1833,-59.5833,85.32,70,40,16.11,BB,1632236092
295,Beloha,-25.1667,45.05,72.79,51,13,10.56,MG,1632236093
296,Ambon City,-3.6954,128.1814,77.14,94,40,3.44,ID,1632236093
297,Bārmer,25.75,71.3833,92.17,46,29,9.24,IN,1632236094
298,Atar,20.5169,-13.0499,102.85,14,5,13.49,MR,1632236094
299,Manokwari,-0.8667,134.0833,77.5,81,57,3.89,ID,1632236095
300,Nadym,65.5333,72.5167,36.1,81,100,13.33,RU,1632236095
301,Belaya Gora,68.5333,146.4167,30.96,60,100,3.49,RU,1632236095
302,Khor,47.8861,134.9464,53.22,98,100,8.3,RU,1632236096
303,Grindavik,63.8424,-22.4338,51.75,93,90,49.48,IS,1632236096
304,Lagoa,39.05,-27.9833,70.56,77,30,18.23,PT,1632236097
305,Sioux Lookout,50.1001,-91.917,50.38,87,75,10.36,CA,1632236097
306,Loreto,22.2667,-101.9667,66.33,66,94,6.29,MX,1632236097
307,Panjāb,34.388,67.0233,58.06,17,0,5.17,AF,1632236098
308,Bilma,18.6853,12.9164,101.82,7,4,5.3,NE,1632236098
309,Kaitangata,-46.2817,169.8464,39.79,89,11,7.02,NZ,1632236099
310,Sena Madureira,-9.0656,-68.6569,95.68,37,51,2.86,BR,1632236099
311,Dabakala,8.3667,-4.4333,86.41,63,93,3.51,CI,1632236100
312,Ruteng,-8.6136,120.4721,61.74,93,99,2.57,ID,1632236100
313,Howard Springs,-12.497,131.047,78.71,70,38,2.77,AU,1632236100
314,Plettenberg Bay,-34.0527,23.3716,57.97,64,71,7.07,ZA,1632236101
315,Comodoro Rivadavia,-45.8667,-67.5,64.26,34,0,10.36,AR,1632235918
316,Husavik,66.0449,-17.3389,39.11,95,100,12.19,IS,1632236101
317,Norman Wells,65.282,-126.8329,44.64,76,90,5.75,CA,1632236102
318,Port-Gentil,-0.7193,8.7815,84.16,65,75,17.27,GA,1632236102
319,Mezen',65.8522,44.24,39.51,77,81,3.62,RU,1632236104
320,Huanan,46.2167,130.5167,54.79,96,100,8.05,CN,1632236105
321,Lorengau,-2.0226,147.2712,80.65,79,99,5.57,PG,1632236106
322,Barabai,-2.5833,115.3833,73.15,99,100,1.14,ID,1632236106
323,San Quintín,30.4833,-115.95,73.08,69,0,5.12,MX,1632236106
324,Mayya,61.7333,130.2811,29.52,87,5,4.97,RU,1632236107
325,Fereydūnkenār,36.6864,52.5225,75.51,77,13,2.68,IR,1632236107
326,Richland,40.7834,-82.5499,69.73,93,90,14.97,US,1632236108
327,The Valley,18.217,-63.0578,87.1,74,40,13.8,AI,1632236108
328,Zigong,29.3416,104.7769,78.06,75,37,3.71,CN,1632235867
329,Palmer,42.1584,-72.3287,68.52,64,40,1.99,US,1632236075
330,Tsurugi-asahimachi,36.45,136.6333,71.42,75,18,4.85,JP,1632236109
331,Yangi Marg`ilon,40.4272,71.7189,75.92,27,0,2.3,UZ,1632236109
332,Graaff-Reinet,-32.2522,24.5308,62.92,36,95,9.37,ZA,1632236110
333,Cayenne,4.9333,-52.3333,89.64,73,75,3.0,GF,1632236110
334,Mandalī,33.7499,45.5541,93.34,13,0,11.83,IQ,1632236111
335,Camapuã,-19.5314,-54.0439,104.22,9,7,6.6,BR,1632236111
336,Tazovsky,67.4667,78.7,34.2,75,100,14.85,RU,1632236111
337,Bonnyville,54.2668,-110.735,42.12,52,100,8.3,CA,1632236112
338,Temirtau,50.0544,72.9483,41.25,60,61,7.47,KZ,1632236112
339,Eureka,40.8021,-124.1637,62.64,49,0,3.53,US,1632236113
340,Hervey Bay,-25.2986,152.8535,57.31,43,0,19.33,AU,1632236113
341,Flin Flon,54.7682,-101.865,42.64,100,20,0.0,CA,1632236114
342,Kahului,20.8947,-156.47,71.96,96,92,12.28,US,1632236114
343,Pangody,65.85,74.4859,34.95,82,100,11.99,RU,1632236114
344,Beloretsk,53.9631,58.3981,45.41,66,100,2.91,RU,1632236115
345,Marzuq,14.4,46.4667,83.25,42,90,14.23,YE,1632236115
346,Binga,-17.6203,27.3414,86.76,21,1,8.16,ZW,1632236116
347,Galesong,-5.3166,119.3661,78.82,67,100,3.38,ID,1632236116
348,Torbay,47.6666,-52.7314,60.28,51,40,10.36,CA,1632236051
349,Bambous Virieux,-20.3428,57.7575,71.85,64,40,6.91,MU,1632236109
350,Wanning,18.8003,110.3967,80.55,86,53,3.94,CN,1632236117
351,Guerrero Negro,27.9769,-114.0611,74.01,63,6,3.51,MX,1632236117
352,Yulara,-25.2406,130.9889,57.04,28,99,9.22,AU,1632236118
353,Codrington,-38.2667,141.9667,51.55,90,95,12.64,AU,1632236118
354,Lilongwe,-13.9669,33.7873,82.6,28,0,11.5,MW,1632236119
355,Birjand,32.8663,59.2211,82.87,9,0,11.5,IR,1632236119
356,Renukoot,24.2,83.0333,77.61,81,2,5.86,IN,1632236120
357,Nioro,13.35,-15.75,91.83,57,98,5.79,GM,1632236120
358,Elk City,35.412,-99.4043,64.62,48,1,20.71,US,1632236121
359,Gushikawa,26.3544,127.8686,81.99,83,40,8.05,JP,1632236121
360,Severo-Yeniseyskiy,60.3725,93.0408,31.23,96,100,5.57,RU,1632236122
361,Okhotsk,59.3833,143.3,45.48,63,92,6.96,RU,1632236122
362,Nagykőrös,47.0342,19.7786,61.14,51,0,2.3,HU,1632236122
363,Hutchinson,38.0608,-97.9298,64.35,63,84,1.99,US,1632236117
364,Lagoa Formosa,-18.7786,-46.4075,92.01,18,5,7.11,BR,1632236123
365,Moctezuma,29.8,-109.6667,75.79,74,100,2.13,MX,1632236123
366,Villa Luvianos,18.9167,-100.4,65.98,79,11,0.65,MX,1632236124
367,Santa Isabel Rio Negro,-0.4139,-65.0192,92.25,48,90,4.72,BR,1632236124
368,Dessie,11.1333,39.6333,61.81,57,11,4.38,ET,1632236125
369,Dera Bugti,29.0307,69.151,91.49,38,11,11.88,PK,1632236125
370,Kisangani,0.5167,25.2,79.12,71,100,2.1,CD,1632236125
371,Wanaka,-44.7,169.15,33.87,88,72,5.12,NZ,1632236126
372,Poum,-20.2333,164.0167,73.62,69,98,8.01,NC,1632236126
373,Tezu,27.9167,96.1667,74.41,91,24,4.72,IN,1632236127
374,Road Town,18.4167,-64.6167,88.0,89,20,8.05,VG,1632236127
375,Angra dos Reis,-23.0067,-44.3181,91.36,55,19,3.13,BR,1632236128
376,Kushmurun,52.4503,64.6311,42.98,62,97,5.48,KZ,1632236128
377,Nosy Varika,-20.5833,48.5333,70.74,80,8,8.37,MG,1632236128
378,Boa Vista,2.8197,-60.6733,87.78,62,20,12.66,BR,1632236129
379,Cherskiy,68.75,161.3,25.14,77,76,3.96,RU,1632236129
380,Kano,12.0001,8.5167,94.32,31,14,3.8,NG,1632236130
381,Karratha,-20.7377,116.8463,82.76,35,91,8.81,AU,1632235914
382,Sorong,-0.8833,131.25,78.15,89,100,5.48,ID,1632236130
383,Roald,62.5833,6.1333,58.15,93,90,19.57,NO,1632236131
384,Olafsvik,64.8945,-23.7142,38.75,97,100,30.8,IS,1632236131
385,Hokitika,-42.7167,170.9667,48.51,85,100,4.54,NZ,1632236132
386,Santa Elena,-2.2333,-80.85,72.95,83,90,6.91,EC,1632236132
387,Christchurch,-43.5333,172.6333,54.91,60,100,8.05,NZ,1632236132
388,Kiryat Gat,31.61,34.7642,89.4,100,0,13.53,IL,1632235985
389,Dali,25.7,100.1833,60.8,87,99,3.27,CN,1632236133
390,Saint George,37.1041,-113.5841,64.8,28,1,4.0,US,1632235862
391,Oddur,4.1213,43.8894,88.39,31,99,14.85,SO,1632236134
392,Billings Metropolitan Area,45.7833,-108.5007,50.5,37,9,6.42,US,1632236105
393,Dhidhdhoo,6.8833,73.1,82.72,76,34,16.02,MV,1632236135
394,Yatou,37.15,122.3833,64.24,88,0,6.02,CN,1632236136
395,Santa María Rayón,19.1444,-99.5836,60.15,74,14,2.24,MX,1632236137
396,Kavieng,-2.5744,150.7967,81.63,76,100,9.35,PG,1632236137
397,Yar-Sale,66.8333,70.8333,36.59,84,100,11.45,RU,1632236138
398,Emba,48.8264,58.1442,58.57,25,92,10.49,KZ,1632236138
399,Tevaitoa,-16.7833,-151.5,78.03,70,0,8.88,PF,1632236139
400,Itarema,-2.9248,-39.9167,89.17,50,60,17.36,BR,1632235946
401,Wuxue,29.8506,115.5525,72.43,76,1,2.53,CN,1632235975
402,Salaga,8.5508,-0.5188,88.92,54,100,4.21,GH,1632236139
403,Seoul,37.5683,126.9778,71.2,89,90,10.36,KR,1632236012
404,Gwadar,25.1216,62.3254,81.66,85,45,9.31,PK,1632236140
405,Lethem,3.3803,-59.7968,88.77,58,94,7.72,GY,1632236141
406,Port Moresby,-9.4431,147.1797,75.25,94,100,10.4,PG,1632235935
407,Gilgit,35.9221,74.3087,74.61,61,88,4.59,PK,1632236141
408,Nelson Bay,-32.7167,152.15,54.1,85,76,3.0,AU,1632236142
409,Rantepao,-2.9701,119.8978,65.8,99,100,1.81,ID,1632236142
410,Mayo,38.8876,-76.5119,78.42,80,100,5.99,US,1632236143
411,Alyangula,-13.8483,136.4192,80.47,41,90,8.05,AU,1632236143
412,Muisne,0.6,-80.0333,80.71,83,100,9.51,EC,1632236143
413,Ende,-8.8432,121.6623,77.29,74,100,1.39,ID,1632236144
414,Manadhoo,5.7667,73.3833,83.26,76,86,17.92,MV,1632236144
415,Xining,36.6167,101.7667,58.62,40,100,0.81,CN,1632235912
416,Morehead,37.2711,-87.1764,73.11,96,90,0.0,US,1632236145
417,Tecate,32.5667,-116.6333,83.53,42,0,6.8,MX,1632236111
418,Vila Franca do Campo,37.7167,-25.4333,72.01,60,24,8.08,PT,1632236146
419,Angoche,-16.2325,39.9086,76.73,68,2,14.05,MZ,1632235879
420,Evensk,61.95,159.2333,45.43,86,100,20.22,RU,1632236146
421,Zambezi,-13.5432,23.1047,99.14,5,0,12.62,ZM,1632236147
422,Mocorito,25.4833,-107.9167,80.26,89,100,0.69,MX,1632236148
423,Broome,42.2506,-75.833,70.02,66,40,1.99,US,1632236148
424,Richmond,37.5538,-77.4603,79.66,87,90,1.99,US,1632236064
425,Simbahan,6.3032,120.5836,81.34,76,87,7.07,PH,1632236149
426,Pacific Grove,36.6177,-121.9166,73.27,60,0,1.01,US,1632236149
427,Grenville,12.1167,-61.6167,87.85,73,34,12.62,GD,1632236149
428,Honiara,-9.4333,159.95,76.3,89,57,3.6,SB,1632236150
429,Bougouni,11.417,-7.479,91.33,48,16,4.63,ML,1632236150
430,Spring Valley,36.108,-115.245,74.37,25,1,4.61,US,1632235853
431,Potiskum,11.7091,11.0694,93.0,40,46,4.5,NG,1632236151
432,Novyy Buh,47.6931,32.5216,50.22,63,95,16.24,UA,1632236151
433,Khasan,42.4308,130.6434,65.82,96,31,3.22,RU,1632236152
434,Saint-François,46.4154,3.9054,67.48,72,75,5.75,FR,1632236152
435,Chavakachcheri,9.6579,80.1643,82.18,82,1,17.05,LK,1632236153
436,Mookane,-23.688,26.6595,91.54,7,0,4.56,BW,1632236153
437,Tawang Town,27.5833,91.8667,52.59,93,56,2.13,IN,1632236153
438,Kropotkin,45.4375,40.5756,58.55,93,100,8.37,RU,1632236154
439,Tabas,33.5959,56.9244,92.28,9,23,8.99,IR,1632236154
440,Acapulco de Juárez,16.8634,-99.8901,81.12,77,50,2.75,MX,1632235988
441,Harar,9.3094,42.1258,64.85,76,88,2.17,ET,1632236155
442,Znamenskoye,57.1281,73.8282,37.44,97,100,7.92,RU,1632236155
443,Puerto Baquerizo Moreno,-0.9,-89.6,70.79,83,75,17.27,EC,1632235956
444,Ségou,13.4317,-6.2157,98.65,31,35,9.04,ML,1632236156
445,Vuktyl,63.8567,57.3094,38.8,89,100,7.0,RU,1632236156
446,Turukhansk,65.8167,87.9833,38.43,85,100,8.23,RU,1632236157
447,Pringsewu,-5.3582,104.9744,74.62,93,10,2.53,ID,1632236157
448,Asău,46.4333,26.4,59.92,57,47,5.88,RO,1632236158
449,Salalah,17.0151,54.0924,79.72,83,95,6.02,OM,1632236073
450,Chapleau,47.8405,-83.4034,59.09,94,90,10.36,CA,1632236158
451,Cheremshan,54.6667,51.5,47.82,61,100,9.64,RU,1632236159
452,Enid,36.3956,-97.8784,66.31,57,75,5.99,US,1632236159
453,Złotów,53.3635,17.0408,51.24,73,100,10.13,PL,1632236159
454,Gagino,55.2314,45.0339,46.8,62,100,15.75,RU,1632236160
455,Waipawa,-41.4122,175.5153,54.45,78,100,10.0,NZ,1632236160
456,Río Gallegos,-51.6226,-69.2181,62.65,45,0,18.41,AR,1632236161
457,Aykino,62.2248,49.9922,37.42,80,99,4.0,RU,1632236161
458,Barranca,-10.75,-77.7667,64.04,76,78,8.03,PE,1632236162
459,Semnan,35.5729,53.3971,83.03,17,0,5.3,IR,1632236162
460,Fairbanks,64.8378,-147.7164,31.6,77,90,2.3,US,1632236163
461,Mamou,10.5,-12.0,83.57,58,54,3.65,GN,1632236163
462,Takoradze,4.8845,-1.7554,80.46,80,55,12.06,GH,1632236163
463,Saint-Paul,-21.0096,55.2707,73.51,72,18,1.9,RE,1632236164
464,Constitución,-35.3333,-72.4167,58.53,60,0,9.44,CL,1632236164
465,Saldanha,-33.0117,17.9442,69.85,64,0,15.01,ZA,1632236165
466,Rio Grande,-32.035,-52.0986,62.71,63,49,22.28,BR,1632236165
467,Bay Roberts,47.5999,-53.2648,61.05,56,57,7.0,CA,1632236166
468,Port Blair,11.6667,92.75,80.11,81,98,12.8,IN,1632236166
469,Mahébourg,-20.4081,57.7,71.89,64,40,6.91,MU,1632236167
470,Tokur,53.1333,132.9,35.87,92,7,3.94,RU,1632236167
471,Igrim,63.1906,64.4162,41.97,81,100,7.2,RU,1632236167
472,Huambo,-12.7761,15.7392,91.58,13,99,7.18,AO,1632235873
473,Giohar,2.7809,45.5005,81.18,47,41,15.48,SO,1632236168
474,Tyukhtet,56.5389,89.3011,34.75,97,100,8.84,RU,1632236168
475,Pontianak,-0.0333,109.3333,75.69,93,76,2.75,ID,1632236169
476,Charleville-Mézières,49.7667,4.7167,63.99,52,73,5.48,FR,1632236169
477,Bandarbeyla,9.4942,50.8122,77.32,83,100,27.96,SO,1632236170
478,Cabay,13.8783,121.3772,78.89,91,98,3.76,PH,1632236170
479,Egvekinot,66.3167,-179.1667,18.48,75,14,5.97,RU,1632236171
480,Faanui,-16.4833,-151.75,78.01,74,5,9.82,PF,1632236171
481,Thenzawl,23.3167,92.75,67.3,98,100,1.39,IN,1632236171
482,Mossamedes,-15.1961,12.1522,72.23,73,75,16.11,AO,1632236173
483,Fredericton,45.9454,-66.6656,66.36,65,1,3.0,CA,1632236029
484,Dezhou,37.4486,116.2925,66.56,82,0,5.75,CN,1632236173
485,Mthatha,-31.5889,28.7844,64.96,32,20,8.05,ZA,1632236174
486,Cotonou,6.3654,2.4183,82.38,83,40,13.8,BJ,1632236174
487,City of San Pedro,14.35,121.0167,83.43,81,40,6.91,PH,1632236175
488,Port Antonio,18.18,-76.4612,87.71,69,25,7.14,JM,1632236175
489,Pital,2.2665,-75.8044,70.79,84,96,3.69,CO,1632236175
490,Mattru,7.6244,-11.8332,85.86,66,91,3.74,SL,1632236176
491,Ati,13.2154,18.3353,95.58,34,100,5.06,TD,1632236176
492,Muriwai Beach,-36.8167,174.45,57.34,90,100,6.46,NZ,1632236177
493,Jamālpur,24.9167,89.9333,76.69,86,100,6.29,BD,1632236177
494,Vanavara,60.34,102.2797,35.91,86,65,5.03,RU,1632236177
495,Chimbote,-9.0853,-78.5783,66.29,75,72,7.9,PE,1632236178
496,Srednekolymsk,67.45,153.6833,26.89,70,48,5.82,RU,1632236178
497,Ust'-Shonosha,61.1531,41.343,40.55,80,91,5.46,RU,1632236179
498,Naryan-Mar,67.6713,53.087,41.49,77,89,8.37,RU,1632236179
499,Prince Rupert,54.3161,-130.3201,55.09,95,90,10.36,CA,1632236180
500,Aiquile,-18.2041,-65.1807,69.19,49,85,10.29,BO,1632236180
501,Sabang,5.8933,95.3214,82.56,79,100,21.18,ID,1632236180
502,Nokaneng,-19.6667,22.2667,96.76,9,4,6.46,BW,1632236181
503,Morón,-34.6534,-58.6198,59.02,51,0,7.0,AR,1632236181
504,Linares,-35.85,-71.6,62.73,46,0,5.19,CL,1632236182
505,Kiunga,-6.1219,141.2906,72.86,99,100,2.98,PG,1632236182
506,Goundam,16.4145,-3.6708,105.06,14,74,5.37,ML,1632236183
507,Grand Forks,47.9417,-97.4337,52.79,78,1,6.91,US,1632235907
508,Kuah,6.3265,99.8432,78.78,94,40,2.3,MY,1632236183
509,Stara Syniava,49.6032,27.6191,42.58,86,100,14.81,UA,1632236184
510,Adrar,20.5022,-10.0711,102.69,13,1,17.65,MR,1632236184
511,Borogontsy,62.6683,131.1683,34.34,85,2,3.15,RU,1632236185
512,Huilong,31.8111,121.655,76.98,78,0,8.72,CN,1632236185
513,Byron Bay,-28.65,153.6167,56.88,87,63,20.71,AU,1632236072
514,Prince Albert,53.2001,-105.7677,40.95,87,40,2.3,CA,1632236186
515,Umba,66.6871,34.3429,42.57,76,92,11.41,RU,1632236186
516,Kovdor,67.5662,30.4758,38.25,68,52,7.61,RU,1632236186
517,Jaciara,-15.9653,-54.9683,105.46,10,47,2.77,BR,1632236187
518,Kayerkan,69.3497,87.7602,30.16,92,39,12.19,RU,1632236187
519,Guanay,-15.4975,-67.8797,79.92,69,100,0.98,BO,1632236188
520,Adeje,28.1227,-16.726,79.68,56,40,3.0,ES,1632236188
521,Cervo,43.6702,-7.4101,73.2,67,35,15.59,ES,1632236188
522,Krasnyy Yar,46.5331,48.3456,75.13,42,93,10.0,RU,1632236189
523,Ordzhonīkīdze,52.4411,61.7408,47.05,45,100,0.81,KZ,1632236189
524,Ushtobe,45.2514,77.9838,53.82,26,0,9.71,KZ,1632236190
525,El Alto,-4.2714,-81.2147,64.06,64,19,9.04,PE,1632236190
526,Chengde,40.9725,117.9361,54.03,81,67,2.01,CN,1632236191
527,Mount Isa,-20.7333,139.5,60.57,21,26,17.27,AU,1632236191
528,Bagé,-31.3314,-54.1069,60.58,59,40,16.11,BR,1632236192
529,Khani,41.9563,42.9566,71.17,61,22,4.41,GE,1632236192
530,Le Port,-20.9373,55.2919,73.4,71,19,3.15,RE,1632236193
531,Sørland,67.667,12.6934,50.07,86,100,38.1,NO,1632236193
532,Muyezerskiy,63.9333,31.65,41.45,70,88,4.7,RU,1632236193
533,Williams Lake,52.1415,-122.1445,49.57,69,75,5.01,CA,1632236088
534,Swindon,51.558,-1.7812,72.19,58,100,1.99,GB,1632236194
535,Amga,60.8953,131.9608,32.58,91,2,2.26,RU,1632236195
536,Tonekābon,36.8163,50.8738,78.75,76,28,2.39,IR,1632236195
537,Oistins,13.0667,-59.5333,87.89,70,40,16.11,BB,1632236196
538,Saint-Ambroise,48.5501,-71.3324,68.54,68,94,4.61,CA,1632236196
539,Cockburn Town,21.4612,-71.1419,83.19,77,4,18.28,TC,1632235919
540,Makakilo City,21.3469,-158.0858,75.69,76,100,15.59,US,1632236197
541,Bilibino,68.0546,166.4372,15.17,88,36,4.34,RU,1632236197
542,Posse,-14.0931,-46.3694,97.97,16,10,2.24,BR,1632235934
543,Sarkand,45.41,79.9186,47.91,32,5,2.77,KZ,1632236198
544,Sur,22.5667,59.5289,87.46,63,18,2.06,OM,1632236198
